Names,Race or Ethnicity
"Nelson, Dorothy Wright",White
"Nelson, Ryan Douglas",White
"Nelson, Susan Richard",White
"Newman, Jon Ormond",White
"Newman, Michael Jay",White
"Newman, Pauline",White
"Newsom, Kevin Christopher",White
"Nichols, Carl John",White
"Nickerson, William M.",White
"Nielsen, William Fremming",White
"Nielson, Howard Curtis, Jr.",White
"Niemeyer, Paul Victor",White
"Noreika, Maryellen",White
"Norgle, Charles Ronald, Sr.",White
"Norris, Alan Eugene",White
"Norris, Mark Saalfield, Sr.",White
"Norton, David C.",White
"Novak, David John",White
"Nowlin, James Robertson",White
"Nuffer, David Ogden",White
"Nugent, Donald C.",White
"Nye, David Charles",White
"Nygaard, Richard Lowell",White
"O'Brien, Terrence L.",White
"O'Connor, Reed Charles",White
"O'Hearn, Christine Patricia",White
"O'Meara, John Corbett",White
"O'Neill, Lawrence Joseph",White
"O'Scannlain, Diarmuid Fionntain",White
"O'Toole, George A., Jr.",White
"Oetken, James Paul",White
"Oldham, Andrew Stephen",White
"Orrick, William Horsley III",White
"Osteen, William Lindsay, Jr.",White
"Owens, John Byron",White
"Ozerden, Halil Suleyman",White
"Padova, John R.",White
"Palk, Scott Lawrence",White
"Pallmeyer, Rebecca R.",White
"Pannell, Charles A., Jr.",White
"Pappert, Gerald John",White
"Parker, Thomas Lee Robinson",White
"Parrish, Jill N.",White
"Payne, James H.",White
"Payne, Robert E.",White
"Pechman, Marsha J.",White
"Pepper, Pamela",White
"Perry, Catherine D.",White
"Peterson, James Donald",White
"Peterson, Rosanna Malouf",White
"Phillips, Gregory Alan",White
"Phillips, Mary Elizabeth",White
"Phillips, Thomas W.",White
"Phillips, Virginia A.",White
"Phipps, Peter Joseph",White
"Piersol, Lawrence L.",White
"Pillard, Cornelia Thayer Livingston",White
"Pitlyk, Sarah Elizabeth",White
"Pitman, Robert Lee",White
"Pittman, Mark Timothy",White
"Pitts, Patrick Casey",White
"Plager, S. Jay",White
"Polster, Dan A.",White
"Ponsor, Michael Adrian",White
"Porfilio, John Carbone",White
"Porter, David James",White
"Pratt, Robert W.",White
"Pratter, Gene E.K.",White
"Pregerson, Dean D.",White
"Preska, Loretta A.",White
"Presnell, Gregory A.",White
"Proctor, R. David",White
"Prost, Sharon",White
"Pryor, Jill Anne",White
"Pryor, William Holcombe, Jr.",White
"Quackenbush, Justin Lowe",White
"Quattlebaum, A. Marvin, Jr.",White
"Quist, Gordon Jay",White
"Raggi, Reena",White
"Rainey, John David",White
"Rakoff, Jed Saul",White
"Rambo, Sylvia H.",White
"Randolph, Arthur Raymond",White
"Rash, Scott Hugh",White
"Ray, William McCrary II",White
"Rayes, Douglas Leroy",White
"Reade, Linda R.",White
"Readler, Chad Andrew",White
"Rearden, Jennifer Hutchison",White
"Reeves, Danny C.",White
"Reidinger, Martin Karl",White
"Reif, Timothy Mark",White
"Reinhard, Philip Godfrey",White
"Reiss, Christina Clair",White
"Rendell, Marjorie O.",White
"Restani, Jane A.",White
"Rice, Thomas Owen",White
"Rice, Walter Herbert",White
"Richardson, Eli Jeremy",White
"Richardson, Julius Ness",White
"Richman, Priscilla",White
"Ridgway, Delissa Anne",White
"Riggs, Kea Whetzal",White
"Rikelman, Julie",White
"Ripple, Kenneth Francis",White
"Robart, James L.",White
"Roberts, John Glover, Jr.",White
"Robinson, Beth",White
"Robinson, Todd Wallace",White
"Rochon, Jennifer Louise",White
"Rodgers, Margaret Catharine",White
"Rogers, John M.",White
"Rose, Stephanie Marie",White
"Rose, Thomas M.",White
"Rosenbaum, Robin Stacie",White
"Rosenberg, Robin Lee",White
"Rosenstengel, Nancy Jo",White
"Rosenthal, Lee Hyman",White
"Ross, Allyne R.",White
"Ross, John Andrew",White
"Rossiter, Robert F., Jr.",White
"Rossman, Veronica Sophia",White
"Roth, Jane Richards",White
"Rothstein, Barbara Jacobs",White
"Rovner, Ilana Kara Diamond",White
"Rowland, Mary Margaret",White
"Royal, C. Ashley",White
"Rubin, Julie Rebecca",White
"Rudofsky, Lee Philip",White
"Rufe, Cynthia M.",White
"Rushing, Allison Jones",White
"Russell, David Lynn",White
"Ryan, James Leo",White
"Sachs, Howard Frederic",White
"Sack, Robert David",White
"Sam, David",White
"Sammartino, Janis Lynn",White
"Sannes, Brenda Kay",White
"Sargus, Edmund A., Jr.",White
"Saris, Patti B.",White
"Savage, Timothy J.",White
"Saylor, F. Dennis IV",White
"Scarsi, Mark Christopher",White
"Schall, Alvin Anthony",White
"Schell, Richard A.",White
"Schelp, Matthew Thomas",White
"Schiller, Berle M.",White
"Schiltz, Patrick Joseph",White
"Schlesinger, Harvey Erwin",White
"Schmehl, Jeffrey L.",White
"Schopler, Andrew George",White
"Schreier, Karen E.",White
"Schroeder, Mary Murphy",White
"Schroeder, Robert William III",White
"Schroeder, Thomas D.",White
"Schwab, Arthur J.",White
"Scirica, Anthony Joseph",White
"Scola, Robert Nichols, Jr.",White
"Scudder, Michael Yale, Jr.",White
"Scullin, Frederick James, Jr.",White
"Seabright, J[ohn] Michael",White
"Sedwick, John W.",White
"Seeborg, Richard G.",White
"Seeger, Steven Charles",White
"Seibel, Cathy",White
"Seitz, Patricia A.",White
"Self, Tilman Eugene III",White
"Selna, James V.",White
"Selya, Bruce Marshall",White
"Sentelle, David Bryan",White
"Sessions, William K. III",White
"Settle, Benjamin Hale",White
"Seybert, Joanna",White
"Seymour, Stephanie Kulp",White
"Shadid, James Edward",White
"Sharpe, Gary L.",White
"Shea, Edward F.",White
"Shea, Michael P.",White
"Shelby, Robert James",White
"Shepherd, Bobby E.",White
"Sheridan, Peter G.",White
"Shubb, William B.",White
"Shwartz, Patty",White
"Siler, Eugene Edward, Jr.",White
"Silver, Roslyn O.",White
"Silverman, Barry G.",White
"Simon, Michael H.",White
"Simon, Philip P.",White
"Simpson, Charles Ralph III",White
"Sinatra, John Leonard, Jr.",White
"Singal, George Z.",White
"Singleton, James Keith, Jr.",White
"Sippel, Rodney W.",White
"Siragusa, Charles J.",White
"Skavdahl, Scott Wesley",White
"Skretny, William M.",White
"Slomsky, Joel Harvey",White
"Smith, Charles Lynwood, Jr.",White
"Smith, D[avid] Brooks",White
"Smith, Jerry Edwin",White
"Smith, Milan Dale, Jr.",White
"Smith, N[orman] Randy",White
"Smith, Ortrie D.",White
"Smith, Rebecca Beach",White
"Smith, William E.",White
"Snow, G. Murray",White
"Snyder, Christina A.",White
"Sorokin, Leo Theodore",White
"Souter, David Hackett",White
"Southwick, Leslie",White
"Sparks, Sam",White
"Springmann, Theresa Lazar",White
"St. Eve, Amy Joan",White
"Stadtmueller, Joseph Peter",White
"Stafford, William Henry, Jr.",White
"Stamp, Frederick Pfarr, Jr.",White
"Stanceu, Timothy C.",White
"Stanton, Louis Lee",White
"Stapleton, Walter King",White
"Stark, Leonard Philip",White
"Starr, Brantley David",White
"Starrett, Keith",White
"Staton, Josephine L.",White
"Stearns, Richard Gaylore",White
"Steeh, George Caram III",White
"Steele, John E.",White
"Steele, William H.",White
"Stein, Sidney H.",White
"Stewart, Brian Theadore",White
"Stickman, William Shaw IV",White
"Stivers, Gregory N.",White
"Story, Richard W.",White
"Stranch, Jane Branstetter",White
"Strand, Leonard Terry",White
"Stras, David Ryan",White
"Straub, Chester J.",White
"Strickland, Margaret Irene",White
"Suddaby, Glenn T.",White
"Suhrheinrich, Richard Fred",White
"Suko, Lonny R.",White
"Sullivan, Richard Joseph",White
"Summerhays, Robert Rees",White
"Surrick, R[ichard] Barclay",White
"Sutton, Jeffrey S.",White
"Sweeney, Charlotte Noelle",White
"Sweeney, James Russell II",White
"Sykes, Diane S.",White
"Tallman, Richard C.",White
"Taranto, Richard Gary",White
"Tatel, David S.",White
"Teeter, Holly Lou",White
"Teilborg, James A.",White
"Thacker, Stephanie Dawn",White
"Tharp, John Joseph, Jr.",White
"Thomas, Sidney Runyan",White
"Thrash, Thomas W., Jr.",White
"Thurston, Jennifer Leigh",White
"Tigar, Jon Steven",White
"Tilley, Norwood Carlton, Jr.",White
"Tipton, Drew Barnett",White
"Tjoflat, Gerald Bard",White
"Todd, James Dale",White
"Torresen, Nancy",White
"Tostrud, Eric Christian",White
"Totenberg, Amy Mil",White
"Trauger, Aleta Arthur",White
"Traum, Anne Rachel",White
"Traxler, William Byrd, Jr.",White
"Traynor, Daniel Mack",White
"Treadwell, Marc Thomas",White
"Trenga, Anthony John",White
"Trimble, James Travis, Jr.",White
"Trott, Stephen S.",White
"Truncale, Michael Joseph",White
"Tuchi, John Joseph",White
"Tunheim, John R.",White
"Tymkovich, Timothy M.",White
"Underhill, Stefan R.",White
"Urbanski, Michael Francis",White
"Vaden, Stephen Alexander",White
"Van Bokkelen, Joseph S.",White
"Van Tatenhove, Gregory Frederick",White
"Vance, Sarah S.",White
"VanDyke, Lawrence James Christopher",White
"Varlan, Thomas A.",White
"Vilardo, Lawrence Joseph",White
"Vitaliano, Eric Nicholas",White
"Vitter, Wendy Baldwin",White
"Volk, Frank William",White
"Voorhees, Richard Lesley",White
"Vratil, Kathryn Hoefer",White
"Vyskocil, Mary Kay",White
"Waddoups, Clark",White
"Wake, Neil Vincent",White
"Walker, John Mercer, Jr.",White
"Walker, Justin Reed",White
"Walker, Lance Edward",White
"Walker, Mark Eaton",White
"Wallace, John Clifford",White
"Wallach, Evan Jonathan",White
"Walter, Donald Ellsworth",White
"Walter, John F.",White
"Watkins, William Keith",White
"Watson, Michael H.",White
"Watters, Susan Pamela",White
"Webber, E. Richard",White
"Weber, Herman Jacob",White
"Welte, Peter David",White
"Werlein, Ewing, Jr.",White
"Wesley, Richard C.",White
"Wetherell, T. Kent II",White
"Whaley, Robert H.",White
"Whelan, Thomas J.",White
"Whipple, Dean",White
"White, Helene N.",White
"White, Jeffrey Steven",White
"White, Ronald A.",White
"Whitney, Frank DeArmon",White
"Whittemore, James D.",White
"Wiegand, Christy Criswell",White
"Wiener, Jacques Loeb, Jr.",White
"Wier, Robert Earl",White
"Wilken, Claudia Ann",White
"Wilkinson, James Harvie III",White
"Willett, Don R.",White
"Williams, Charles Joseph",White
"Williams, Kathleen Mary",White
"Wilson, Billy Roy",White
"Wilson, Cory Todd",White
"Wilson, Jennifer Philpott",White
"Wilson, Stephen Victor",White
"Winmill, B. Lynn",White
"Winsor, Allen Cothrel",White
"Wolf, Mark Lawrence",White
"Wolford, Elizabeth Ann",White
"Wollman, Roger Leland",White
"Wolson, Joshua David",White
"Wood, Diane Pamela",White
"Wood, Kimba Maureen",White
"Wood, Lisa Godbey",White
"Woodcock, John A., Jr.",White
"Woodlock, Douglas Preston",White
"Wooten, Terry L.",White
"Wright, Susan Webber",White
"Wyrick, Patrick Robert",White
"Xinis, Paula",White
"Yohn, William Hendricks, Jr.",White
"Young, Richard L.",White
"Young, William G.",White
"Zainey, Jay C.",White
"Zilly, Thomas Samuel",White
"Zipps, Jennifer Guerin",White
"Zloch, William J.",White
"Zobel, Rya Weickert",White
"Zouhary, Jack",White
"Aenlle-Rocha, Fernando Lazaro",Hispanic
"Almadani, Monica Ramirez",Hispanic
"Alonso, Jorge Luis",Hispanic
"Altman, Roy Kalman",Hispanic
"Altonaga, Cecilia M.",Hispanic
"Alvarez, Micaela",Hispanic
"Antongiorgi-Jordán, María del R.",Hispanic
"Arguello, Christine M.",Hispanic
"Arias-Marxuach, Raúl Manuel",Hispanic
"Armijo, M. Christina",Hispanic
"Bea, Carlos T.",Hispanic
"Benitez, Roger T.",Hispanic
"Bernal, Jesus Gilberto",Hispanic
"Besosa, Francisco Augusto",Hispanic
"Briones, David",Hispanic
"Bryan, Jeffrey Marc",Hispanic
"Cabranes, José Alberto",Hispanic
"Callahan, Consuelo Maria",Hispanic
"Cardone, Kathleen",Hispanic
"Carreño-Coll, Silvia Luisa",Hispanic
"Contreras, Rudolph",Hispanic
"Covington, Virginia Maria Hernandez",Hispanic
"Crane, Randy",Hispanic
"Curiel, Gonzalo Paul",Hispanic
"Davila, Edward John",Hispanic
"de Alba, Ana Isabel",Hispanic
"Delgado Hernández, Pedro Alberto",Hispanic
"Delgado-Colón, Aida M.",Hispanic
"Diaz, Albert",Hispanic
"Domínguez, Daniel R.",Hispanic
"Estudillo, David",Hispanic
"Fernandez, Ferdinand Francis",Hispanic
"Fuentes, Julio M.",Hispanic
"Garcia Marmolejo, Marina",Hispanic
"Garcia, Bradley Nelson",Hispanic
"Garcia, Matthew Lane",Hispanic
"Garcia, Orlando Luis",Hispanic
"Garcia-Gregory, Jay A.",Hispanic
"Gelpí, Gustavo Antonio, Jr.",Hispanic
"Gonzales, Kenneth John",Hispanic
"Gonzalez, Hector",Hispanic
"Gonzalez, Jose Alejandro, Jr.",Hispanic
"Grimberg, Steven Daniel",Hispanic
"Guaderrama, David Campos",Hispanic
"Guirola, Louis, Jr.",Hispanic
"Gutierrez, Philip S.",Hispanic
"Guzman, Ronald A.",Hispanic
"Hernandez, Marco Antonio",Hispanic
"Herrera, Judith C.",Hispanic
"Hinojosa, Ricardo H.",Hispanic
"Howard, Marcia Morales",Hispanic
"Irizarry, Dora L.",Hispanic
"Jordan, Adalberto Jose",Hispanic
"Lagoa, Barbara",Hispanic
"Lopez, Linda",Hispanic
"Lucero, Carlos F.",Hispanic
"Maldonado, Nancy Lee",Hispanic
"Márquez, Rosemary",Hispanic
"Marrero, Victor",Hispanic
"Martinez, Jose E.",Hispanic
"Martinez, Ricardo S.",Hispanic
"Martinez, William Joseph",Hispanic
"Martinez-Olguin, Araceli",Hispanic
"Mendez, John A.",Hispanic
"Méndez-Miró, Gina Raquel",Hispanic
"Mendoza, Carlos Eduardo",Hispanic
"Mendoza, Salvador, Jr.",Hispanic
"Montalvo, Frank",Hispanic
"Montenegro, Ruth Bermudez",Hispanic
"Morales, David Steven",Hispanic
"Moreno, Federico A.",Hispanic
"Moses, Alia",Hispanic
"Murguia, Mary Helen",Hispanic
"Navarro, Gloria Maria",Hispanic
"Olguin, Fernando Manzano",Hispanic
"Olvera, Jose Rolando, Jr.",Hispanic
"Padin, Evelyn",Hispanic
"Paez, Richard A.",Hispanic
"Pérez, Myrna",Hispanic
"Quiñones Alejandro, Nitza Ileana",Hispanic
"Ramirez, Irma Carrillo",Hispanic
"Ramos, Edgardo",Hispanic
"Ramos, Nelva Gonzales",Hispanic
"Restrepo, Luis Felipe",Hispanic
"Reyes, Ana Cecilia",Hispanic
"Reyes, Ramon Ernesto, Jr.",Hispanic
"Reyna, Jimmie V.",Hispanic
"Rodriguez, Fernando, Jr.",Hispanic
"Rodriguez, Joseph H.",Hispanic
"Rodriguez, Xavier",Hispanic
"Rogers, Yvonne Gonzalez",Hispanic
"Román, Nelson Stephen",Hispanic
"Ruiz, David Augustin",Hispanic
"Ruiz, Rodolfo Armando II",Hispanic
"Salas, Esther",Hispanic
"Saldaña, Diana",Hispanic
"Sanchez, Gabriel Patrick",Hispanic
"Sánchez, Juan Ramon",Hispanic
"Silva, Cristina Dionne",Hispanic
"Sotomayor, Sonia",Hispanic
"Stoll, Kara Farnandez",Hispanic
"Tagle, Hilda G.",Hispanic
"Urias, David Herrera",Hispanic
"Vázquez, Martha Alicia",Hispanic
"Vélez-Rivé, Camille Lizette",Hispanic
"Vera, Hernán Diego",Hispanic
"Wardlaw, Kim McLane",Hispanic
"Zapata, Frank R.",Hispanic
"Humetewa, Diane Joyce",Indigenous American
"King, Lauren Jennifer",Indigenous American
"Seay, Frank Howell",Indigenous American
"Sykes, Sunshine Suzanne",Indigenous American
"Abudu, Nancy Gbana",African American
"Adams, Henry Lee, Jr.",African American
"Allen, Arenda Lauretta Wright",African American
"Alston, Rossie David, Jr.",African American
"Anderson, Percy",African American
"Armstrong, Saundra Brown",African American
"Autrey, Henry Edward",African American
"Benjamin, DeAndrea Gist",African American
"Bennett, Alfred Homer",African American
"Berger, Irene Cornelia",African American
"Biggs, Loretta Copeland",African American
"Birotte, Andre, Jr.",African American
"Blackwell, Jerry Wayne",African American
"Bolden, Victor Allen",African American
"Boulware, Richard Franklin II",African American
"Brodie, Margo Kitsy",African American
"Brown, Debra Marie",African American
"Brown, Nannette Jolivette",African American
"Bryant, Vanessa Lynne",African American
"Burrell, Garland Ellis, Jr.",African American
"Calvert, Victoria Marie",African American
"Carter, Andrew Lamar, Jr.",African American
"Casper, Denise Jefferson",African American
"Childs, Julianna Michelle",African American
"Chutkan, Tanya Sue",African American
"Clarke, Jessica Gloria Lynn",African American
"Clay, Eric L.",African American
"Cobb, Jia Michelle",African American
"Cole, Ransey Guy, Jr.",African American
"Coleman, Sharon Johnson",African American
"Collier, Curtis Lynn",African American
"Collins, Raner Christercunean",African American
"Cooper, Christopher Reid",African American
"Cooper, Clarence",African American
"Crenshaw, Waverly David, Jr.",African American
"Cummings, Jeffrey Irvine",African American
"Cunningham, Tiffany Patrice",African American
"Daniel, Jeremy Christen",African American
"Daniels, George B.",African American
"Davis, Brian Jordan",African American
"Davis, Legrome D.",African American
"Davis, Michael James",African American
"Davis, Stephanie Dawkins",African American
"Dawson, Joseph III",African American
"DeArcy Hall, LaShann Moutique",African American
"Douglas, Dana Marie",African American
"Drain, Gershwin Allen",African American
"Edwards, Harry Thomas",African American
"Ellis, Sara Lee",African American
"England, Morrison C., Jr.",African American
"Fleming, Charles Esque",African American
"Fowlkes, John Thomas, Jr.",African American
"Freeman, Arianna Julia",African American
"Frimpong, Maame Ewusi-Mensah",African American
"Gaitan, Fernando J., Jr.",African American
"Gardner, Leslie Abrams",African American
"Garnett, Sherilyn Peace",African American
"Gayles, Darrin Phillip",African American
"Giles, Patricia Tolliver",African American
"Gilliam, Haywood Stirling, Jr.",African American
"Graham, Donald L.",African American
"Graves, James Earl, Jr.",African American
"Gregory, Roger L.",African American
"Grey, Jonathan James Canada",African American
"Haggerty, Ancer Lee",African American
"Hamilton, Phyllis Jean",African American
"Hanks, George Carol, Jr.",African American
"Hatter, Terry J., Jr.",African American
"Henderson, Thelton Eugene",African American
"Hodge, Kelley Brisbon",African American
"Holmes, Jerome A.",African American
"Honeywell, Charlene Vanessa Edwards",African American
"Hood, Denise Page",African American
"Hopkins, Jeffery Paul",African American
"Houston, John A.",African American
"Hoyt, Kenneth M.",African American
"Hunt, LaShonda Annette",African American
"Jackson, Brian Anthony",African American
"Jackson, Ketanji Brown",African American
"Jackson, Raymond Alvin",African American
"Jackson-Akiwumi, Candace Rae",African American
"Jenkins, Lindsay Clayton",African American
"Jones, Bernard M.",African American
"Jones, C. Darnell II",African American
"Jones, Richard A.",African American
"Jones, Steve CarMichael",African American
"Kearse, Amalya Lyle",African American
"Kennedy, Henry Harold, Jr.",African American
"Kuntz, William Francis II",African American
"Lee, Eunice Cheryl",African American
"Lemelle, Ivan L. R.",African American
"Lindsay, Sam A.",African American
"Logan, Steven Paul",African American
"Lohier, Raymond Joseph, Jr.",African American
"Maddox, Matthew James",African American
"Marbley, Algenon L.",African American
"Marshall, Consuelo Bland",African American
"Mathis, Andre Bernard",African American
"McDade, Joe Billy",African American
"McKee, Theodore Alexander",African American
"McMillion, Brandy Renée",African American
"Merchant, Orelia Eleta",African American
"Merle, Natasha Clarise",African American
"Miles-LaGrange, Vicki",African American
"Miller, Brian Stacy",African American
"Montgomery-Reeves, Tamika Renee",African American
"Moore, Raymond Paul",African American
"Moorer, Terry Fitzgerald",African American
"Neals, Julien Xavier",African American
"Nelson, Adrienne Camille",African American
"Nunley, Troy Lynne",African American
"Oliver, Solomon, Jr.",African American
"Oliver, Vernon Dion",African American
"Papillion, Darrel James",African American
"Parker, Barrington Daniels, Jr.",African American
"Parker, Linda Vivienne",African American
"Pearson, Benita Yalonda",African American
"Pratt, Tanya Walton",African American
"Pryor, Doris Lenea",African American
"Pulliam, Jason Kenneth",African American
"Rawlinson, Johnnie B.",African American
"Reeves, Carlton Wayne",African American
"Roberts, Richard W.",African American
"Robinson, Julie A.",African American
"Rogers, Judith Ann Wilson",African American
"Ross, Eleanor Louise",African American
"Russell, George Levi III",African American
"Sands, W[illie] Louis",African American
"Scott, Kai Niambi",African American
"Scriven, Mary Stenson",African American
"Semper, Jamel Ken",African American
"Shipp, Michael Andre",African American
"Simmons, James Edward, Jr.",African American
"Slaughter, Fred Wallace",African American
"Smith, Lavenski R.",African American
"Smith, Rodney",African American
"Stewart, Carl E.",African American
"Sullivan, Emmet G.",African American
"Swain, Laura Taylor",African American
"Thomas, Clarence",African American
"Thomas, Holly Aiyisha",African American
"Thompson, Alvin W.",African American
"Thompson, Anne Elise",African American
"Thompson, Myron Herbert",African American
"Thompson, Ojetta Rogeriee",African American
"Thompson, Trina Lynn",African American
"Tucker, Petrese B.",African American
"Walker, Jamar Kentrell",African American
"Walton, Reggie B.",African American
"White, Ronnie Lee",African American
"Whitehead, Jamal Norman",African American
"Wigenton, Susan Davis",African American
"Wilkins, Robert Leon",African American
"Williams, Gregory Brian",African American
"Williams, Karen McGlashan",African American
"Wilson, Charles R.",African American
"Wimes, Brian Curtis",African American
"Wingate, Henry Travillion",African American
"Wood, Andrea Robin",African American
"Woods, Gregory Howard III",African American
"Wright, Otis D. II",African American
"Wright, Wilhelmina Marie",African American
"Wynn, James Andrew, Jr.",African American
"Yandle, Staci Michelle",African American
"Young, Roderick Charles",African American
"Younge, John Milton",African American
