State,Names
Eastern_Oklahoma,"Heil, John Frederick III"
Eastern_Oklahoma,"Payne, James H."
Eastern_Oklahoma,"Seay, Frank Howell"
Eastern_Oklahoma,"White, Ronald A."
Wyoming,"Freudenthal, Nancy Dell"
Wyoming,"Johnson, Alan Bond"
Wyoming,"Skavdahl, Scott Wesley"
Northern_Alabama,"Axon, Annemarie Carney"
Northern_Alabama,"Blackburn, Sharon Lovelace"
Northern_Alabama,"Bowdre, Karon O."
Northern_Alabama,"Burke, Liles Clifton"
Northern_Alabama,"Coogler, L. Scott"
Northern_Alabama,"Haikala, Madeline Hughes"
Northern_Alabama,"Hopkins, Virginia Emerson"
Northern_Alabama,"Johnson, Inge Prytz"
Northern_Alabama,"Manasco, Anna Marie"
Northern_Alabama,"Maze, Corey Landon"
Northern_Alabama,"Proctor, R. David"
Northern_Alabama,"Smith, Charles Lynwood, Jr."
Northern West Virginia,"Bailey, John Preston"
Northern West Virginia,"Groh, Gina Marie"
Northern West Virginia,"Keeley, Irene Patricia Murphy"
Northern West Virginia,"Kleeh, Thomas Shawn"
Northern West Virginia,"Stamp, Frederick Pfarr, Jr."
Western_New_York,"Arcara, Richard Joseph"
Western_New_York,"Geraci, Frank Paul, Jr."
Western_New_York,"Larimer, David G."
Western_New_York,"Sinatra, John Leonard, Jr."
Western_New_York,"Siragusa, Charles J."
Western_New_York,"Skretny, William M."
Western_New_York,"Vilardo, Lawrence Joseph"
Western_New_York,"Wolford, Elizabeth Ann"
Western Pennsylvania,"Ambrose, Donetta W."
Western Pennsylvania,"Baxter, Susan Paradise"
Western Pennsylvania,"Bissoon, Cathy"
Western Pennsylvania,"Bloch, Alan Neil"
Western Pennsylvania,"Cercone, David S."
Western Pennsylvania,"Colville, Robert John"
Western Pennsylvania,"Conti, Joy Flowers"
Western Pennsylvania,"Fischer, Nora Barry"
Western Pennsylvania,"Gibson, Kim R."
Western Pennsylvania,"Haines, Stephanie Lou"
Western Pennsylvania,"Hardy, William Scott"
Western Pennsylvania,"Horan, Marilyn Jean"
Western Pennsylvania,"Hornak, Mark Raymond"
Western Pennsylvania,"Ranjan, J. Nicholas"
Western Pennsylvania,"Schwab, Arthur J."
Western Pennsylvania,"Stickman, William Shaw IV"
Western Pennsylvania,"Wiegand, Christy Criswell"
Northern_Georgia,"Batten, Timothy C., Sr."
Northern_Georgia,"Boulee, Jean-Paul"
Northern_Georgia,"Brown, Michael Lawrence"
Northern_Georgia,"Calvert, Victoria Marie"
Northern_Georgia,"Cohen, Mark Howard"
Northern_Georgia,"Cooper, Clarence"
Northern_Georgia,"Evans, Orinda Dale"
Northern_Georgia,"Geraghty, Sarah Elisabeth"
Northern_Georgia,"Grimberg, Steven Daniel"
Northern_Georgia,"Hunt, Willis B., Jr."
Northern_Georgia,"Jones, Steve CarMichael"
Northern_Georgia,"May, Leigh Martin"
Northern_Georgia,"Pannell, Charles A., Jr."
Northern_Georgia,"Ray, William McCrary II"
Northern_Georgia,"Ross, Eleanor Louise"
Northern_Georgia,"Story, Richard W."
Northern_Georgia,"Thrash, Thomas W., Jr."
Northern_Georgia,"Totenberg, Amy Mil"
Puerto Rico,"Antongiorgi-Jordán, María del R."
Puerto Rico,"Arias-Marxuach, Raúl Manuel"
Puerto Rico,"Besosa, Francisco Augusto"
Puerto Rico,"Carreño-Coll, Silvia Luisa"
Puerto Rico,"Delgado Hernández, Pedro Alberto"
Puerto Rico,"Delgado-Colón, Aida M."
Puerto Rico,"Domínguez, Daniel R."
Puerto Rico,"Garcia-Gregory, Jay A."
Puerto Rico,"Méndez-Miró, Gina Raquel"
Puerto Rico,"Vélez-Rivé, Camille Lizette"
Middle_Florida,"Adams, Henry Lee, Jr."
Middle_Florida,"Antoon, John II"
Middle_Florida,"Badalamenti, John Leonard"
Middle_Florida,"Barber, Thomas Patrick"
Middle_Florida,"Berger, Wendy Williams"
Middle_Florida,"Bucklew, Susan C."
Middle_Florida,"Byron, Paul Gregory"
Middle_Florida,"Chappell, Sheri Polster"
Middle_Florida,"Conway, Anne C."
Middle_Florida,"Corrigan, Timothy J."
Middle_Florida,"Covington, Virginia Maria Hernandez"
Middle_Florida,"Dalton, Roy Bale, Jr."
Middle_Florida,"Davis, Brian Jordan"
Middle_Florida,"Fawsett, Patricia C."
Middle_Florida,"Honeywell, Charlene Vanessa Edwards"
Middle_Florida,"Howard, Marcia Morales"
Middle_Florida,"Jung, William Frederic"
Middle_Florida,"Kovachevich, Elizabeth Anne"
Middle_Florida,"Lazzara, Richard A."
Middle_Florida,"Mendoza, Carlos Eduardo"
Middle_Florida,"Merryday, Steven Douglas"
Middle_Florida,"Mizelle, Kathryn Kimball"
Middle_Florida,"Moody, James S., Jr."
Middle_Florida,"Presnell, Gregory A."
Middle_Florida,"Schlesinger, Harvey Erwin"
Middle_Florida,"Scriven, Mary Stenson"
Middle_Florida,"Steele, John E."
Middle_Florida,"Whittemore, James D."
Western_Missouri,"Bough, Stephen Rogers"
Western_Missouri,"Fenner, Gary A."
Western_Missouri,"Gaitan, Fernando J., Jr."
Western_Missouri,"Harpool, M. Douglas"
Western_Missouri,"Kays, David Gregory"
Western_Missouri,"Ketchmark, Roseann Ambrosia"
Western_Missouri,"Laughrey, Nanette Kay"
Western_Missouri,"Phillips, Mary Elizabeth"
Western_Missouri,"Sachs, Howard Frederic"
Western_Missouri,"Sippel, Rodney W."
Western_Missouri,"Smith, Ortrie D."
Western_Missouri,"Whipple, Dean"
Western_Missouri,"Wimes, Brian Curtis"
Eastern_California,"Burrell, Garland Ellis, Jr."
Eastern_California,"Calabretta, Daniel Joe Powell"
Eastern_California,"Drozd, Dale Alan"
Eastern_California,"England, Morrison C., Jr."
Eastern_California,"Ishii, Anthony W."
Eastern_California,"Mendez, John A."
Eastern_California,"Mueller, Kimberly Jo"
Eastern_California,"Nunley, Troy Lynne"
Eastern_California,"O'Neill, Lawrence Joseph"
Eastern_California,"Shubb, William B."
Eastern_California,"Thurston, Jennifer Leigh"
Southern_Illinois,"Dugan, David Wayne"
Southern_Illinois,"Gilbert, John Phil"
Southern_Illinois,"McGlynn, Stephen Patrick"
Southern_Illinois,"Rosenstengel, Nancy Jo"
Southern_Illinois,"Yandle, Staci Michelle"
Minnesota,"Alsop, Donald Douglas"
Minnesota,"Blackwell, Jerry Wayne"
Minnesota,"Brasel, Nancy Ellen"
Minnesota,"Bryan, Jeffrey Marc"
Minnesota,"Davis, Michael James"
Minnesota,"Doty, David Singleton"
Minnesota,"Ericksen, Joan N."
Minnesota,"Frank, Donovan W."
Minnesota,"Magnuson, Paul Arthur"
Minnesota,"Menendez, Katherine Marie"
Minnesota,"Montgomery, Ann D."
Minnesota,"Nelson, Susan Richard"
Minnesota,"Schiltz, Patrick Joseph"
Minnesota,"Tostrud, Eric Christian"
Minnesota,"Tunheim, John R."
Minnesota,"Wright, Wilhelmina Marie"
Maryland,"Bennett, Richard D."
Maryland,"Blake, Catherine C."
Maryland,"Boardman, Deborah Lynn"
Maryland,"Bredar, James Kelleher"
Maryland,"Chasanow, Deborah K."
Maryland,"Chuang, Theodore David"
Maryland,"Gallagher, Stephanie Agli"
Maryland,"Griggsby, Lydia Kay"
Maryland,"Hollander, Ellen Lipton"
Maryland,"Hurson, Brendan Abell"
Maryland,"Maddox, Matthew James"
Maryland,"Messitte, Peter Jo"
Maryland,"Nickerson, William M."
Maryland,"Rubin, Julie Rebecca"
Maryland,"Russell, George Levi III"
Maryland,"Xinis, Paula"
Northern_New_York,"D'Agostino, Mae Avila"
Northern_New_York,"Hurd, David N."
Northern_New_York,"Kahn, Lawrence E."
Northern_New_York,"McAvoy, Thomas James"
Northern_New_York,"Nardacci, Anne Marie"
Northern_New_York,"Sannes, Brenda Kay"
Northern_New_York,"Scullin, Frederick James, Jr."
Northern_New_York,"Sharpe, Gary L."
Northern_New_York,"Suddaby, Glenn T."
Southern_Indiana,"Barker, Sarah Evans"
Southern_Indiana,"Brookman, Matthew Paul"
Southern_Indiana,"Hanlon, James Patrick"
Southern_Indiana,"Lawrence, William T."
Southern_Indiana,"Magnus-Stinson, Jane Elizabeth"
Southern_Indiana,"Pratt, Tanya Walton"
Southern_Indiana,"Sweeney, James Russell II"
Southern_Indiana,"Young, Richard L."
Eastern Texas,"Barker, J. Campbell"
Eastern Texas,"Clark, Ron"
Eastern Texas,"Crone, Marcia A."
Eastern Texas,"Gilstrap, James Rodney"
Eastern Texas,"Jordan, Sean D."
Eastern Texas,"Kernodle, Jeremy Daniel"
Eastern Texas,"Mazzant, Amos Louis III"
Eastern Texas,"Schell, Richard A."
Eastern Texas,"Schroeder, Robert William III"
Eastern Texas,"Truncale, Michael Joseph"
Arizona,"Bolton, Susan Ritchie"
Arizona,"Brnovich, Susan Marie"
Arizona,"Bury, David C."
Arizona,"Campbell, David G."
Arizona,"Collins, Raner Christercunean"
Arizona,"Hinderaker, John Charles"
Arizona,"Humetewa, Diane Joyce"
Arizona,"Jorgenson, Cindy K."
Arizona,"Lanza, Dominic William"
Arizona,"Liburdi, Michael Thomas"
Arizona,"Logan, Steven Paul"
Arizona,"Márquez, Rosemary"
Arizona,"Martone, Frederick J."
Arizona,"McNamee, Stephen M."
Arizona,"Rash, Scott Hugh"
Arizona,"Rayes, Douglas Leroy"
Arizona,"Silver, Roslyn O."
Arizona,"Snow, G. Murray"
Arizona,"Soto, James Alan"
Arizona,"Teilborg, James A."
Arizona,"Tuchi, John Joseph"
Arizona,"Wake, Neil Vincent"
Arizona,"Zapata, Frank R."
Arizona,"Zipps, Jennifer Guerin"
Eastern North Carolina,"Boyle, Terrence William"
Eastern North Carolina,"Britt, William Earl"
Eastern North Carolina,"Dever, James C. III"
Eastern North Carolina,"Flanagan, Louise W."
Eastern North Carolina,"Howard, Malcolm Jones"
Eastern North Carolina,"Myers, Richard Ernest II"
Middle_Louisiana,"Cain, James David, Jr."
Middle_Louisiana,"Doughty, Terry Alvin"
Middle_Louisiana,"Drell, Dee D."
Middle_Louisiana,"Foote, Elizabeth Erny"
Middle_Louisiana,"Hicks, S. Maurice, Jr."
Middle_Louisiana,"James, Robert Gillespie"
Middle_Louisiana,"Joseph, David Cleveland"
Middle_Louisiana,"Melancon, Tucker L."
Middle_Louisiana,"Summerhays, Robert Rees"
Middle_Louisiana,"Trimble, James Travis, Jr."
Middle_Louisiana,"Walter, Donald Ellsworth"
Southern_New_York,"Abrams, Ronnie"
Southern_New_York,"Berman, Richard M."
Southern_New_York,"Briccetti, Vincent Louis"
Southern_New_York,"Broderick, Vernon Speede"
Southern_New_York,"Buchwald, Naomi Reice"
Southern_New_York,"Caproni, Valerie Elaine"
Southern_New_York,"Carter, Andrew Lamar, Jr."
Southern_New_York,"Castel, P. Kevin"
Southern_New_York,"Clarke, Jessica Gloria Lynn"
Southern_New_York,"Cote, Denise"
Southern_New_York,"Cronan, John Peter"
Southern_New_York,"Crotty, Paul Austin"
Southern_New_York,"Daniels, George B."
Southern_New_York,"Engelmayer, Paul Adam"
Southern_New_York,"Failla, Katherine Polk"
Southern_New_York,"Furman, Jesse Matthew"
Southern_New_York,"Gardephe, Paul G."
Southern_New_York,"Garnett, Margaret M."
Southern_New_York,"Haight, Charles Sherman, Jr."
Southern_New_York,"Halpern, Philip Morgan"
Southern_New_York,"Hellerstein, Alvin K."
Southern_New_York,"Ho, Dale Edwin"
Southern_New_York,"Kaplan, Lewis A."
Southern_New_York,"Karas, Kenneth M."
Southern_New_York,"Keenan, John Fontaine"
Southern_New_York,"Koeltl, John George"
Southern_New_York,"Liman, Lewis Jeffrey"
Southern_New_York,"Marrero, Victor"
Southern_New_York,"McMahon, Colleen"
Southern_New_York,"Oetken, James Paul"
Southern_New_York,"Preska, Loretta A."
Southern_New_York,"Rakoff, Jed Saul"
Southern_New_York,"Ramos, Edgardo"
Southern_New_York,"Rearden, Jennifer Hutchison"
Southern_New_York,"Rochon, Jennifer Louise"
Southern_New_York,"Román, Nelson Stephen"
Southern_New_York,"Schofield, Lorna Gail"
Southern_New_York,"Seibel, Cathy"
Southern_New_York,"Stanton, Louis Lee"
Southern_New_York,"Stein, Sidney H."
Southern_New_York,"Subramanian, Arun Srinivas"
Southern_New_York,"Swain, Laura Taylor"
Southern_New_York,"Torres, Analisa Nadine"
Southern_New_York,"Vyskocil, Mary Kay"
Southern_New_York,"Wood, Kimba Maureen"
Southern_New_York,"Woods, Gregory Howard III"
Eastern Virginia,"Allen, Arenda Lauretta Wright"
Eastern Virginia,"Alston, Rossie David, Jr."
Eastern Virginia,"Brinkema, Leonie M."
Eastern Virginia,"Davis, Mark Steven"
Eastern Virginia,"Ellis, Thomas Selby III"
Eastern Virginia,"Gibney, John Adrian, Jr."
Eastern Virginia,"Giles, Patricia Tolliver"
Eastern Virginia,"Hanes, Elizabeth Wilson"
Eastern Virginia,"Hilton, Claude M."
Eastern Virginia,"Hudson, Henry E."
Eastern Virginia,"Jackson, Raymond Alvin"
Eastern Virginia,"Lauck, M[ary] Hannah"
Eastern Virginia,"Nachmanoff, Michael Stefan"
Eastern Virginia,"Novak, David John"
Eastern Virginia,"Payne, Robert E."
Eastern Virginia,"Smith, Rebecca Beach"
Eastern Virginia,"Trenga, Anthony John"
Eastern Virginia,"Walker, Jamar Kentrell"
Eastern Virginia,"Young, Roderick Charles"
South Dakota,"Kornmann, Charles B."
South Dakota,"Lange, Roberto Antonio"
South Dakota,"Piersol, Lawrence L."
South Dakota,"Schreier, Karen E."
New_Hampshire,"Barbadoro, Paul J."
New_Hampshire,"Elliott, Samantha Dowd"
New_Hampshire,"Laplante, Joseph Normand"
New_Hampshire,"McAuliffe, Steven J."
New_Hampshire,"McCafferty, Landya B."
Northern Texas,"Boyle, Jane J."
Northern Texas,"Brown, Ada Elene"
Northern Texas,"Cummings, Samuel Ray"
Northern Texas,"Fish, A[llen] Joe"
Northern Texas,"Fitzwater, Sidney Allen"
Northern Texas,"Godbey, David C."
Northern Texas,"Hendrix, James Wesley"
Northern Texas,"Kacsmaryk, Matthew Joseph"
Northern Texas,"Kinkeade, James E."
Northern Texas,"Lindsay, Sam A."
Northern Texas,"Lynn, Barbara M."
Northern Texas,"Maloney, Robert B."
Northern Texas,"Means, Terry R."
Northern Texas,"O'Connor, Reed Charles"
Northern Texas,"Pittman, Mark Timothy"
Northern Texas,"Scholer, Karen Gren"
Northern Texas,"Starr, Brantley David"
Kansas,"Belot, Monti L."
Kansas,"Broomes, John Wesley"
Kansas,"Crabtree, Daniel Dale"
Kansas,"Crouse, Toby Jon"
Kansas,"Lungstrum, John Watson"
Kansas,"Melgren, Eric F."
Kansas,"Robinson, Julie A."
Kansas,"Teeter, Holly Lou"
Kansas,"Vratil, Kathryn Hoefer"
Central_Illinois,"Bruce, Colin Stirling"
Central_Illinois,"Darrow, Sara Lynn"
Central_Illinois,"Lawless, Colleen Rae"
Central_Illinois,"McDade, Joe Billy"
Central_Illinois,"Mihm, Michael Martin"
Central_Illinois,"Myerscough, Sue Ellen"
Central_Illinois,"Shadid, James Edward"
Southern West Virginia,"Berger, Irene Cornelia"
Southern West Virginia,"Chambers, Robert Charles"
Southern West Virginia,"Copenhaver, John Thomas, Jr."
Southern West Virginia,"Faber, David A."
Southern West Virginia,"Goodwin, Joseph Robert"
Southern West Virginia,"Johnston, Thomas E."
Southern West Virginia,"Volk, Frank William"
Western Virginia,"Ballou, Robert Stewart"
Western Virginia,"Cullen, Thomas Tullidge"
Western Virginia,"Dillon, Elizabeth Kay"
Western Virginia,"Jones, James Parker"
Western Virginia,"Moon, Norman K."
Western Virginia,"Urbanski, Michael Francis"
Nebraska,"Bataillon, Joseph F."
Nebraska,"Buescher, Brian Craig"
Nebraska,"Gerrard, John Melvin"
Nebraska,"Kopf, Richard George"
Nebraska,"Rossiter, Robert F., Jr."
Montana,"Christensen, Dana Lewis"
Montana,"Haddon, Sam E."
Montana,"Molloy, Donald W."
Montana,"Morris, Brian Matthew"
Montana,"Watters, Susan Pamela"
Western Washington,"Bryan, Robert Jensen"
Western Washington,"Cartwright, Tiffany Mae"
Western Washington,"Chun, John Hyungseung"
Western Washington,"Coughenour, John C."
Western Washington,"Dimmick, Carolyn R."
Western Washington,"Estudillo, David"
Western Washington,"Evanson, Kymberly Kathryn"
Western Washington,"Jones, Richard A."
Western Washington,"King, Lauren Jennifer"
Western Washington,"Lasnik, Robert S."
Western Washington,"Lin, Tana"
Western Washington,"Martinez, Ricardo S."
Western Washington,"Pechman, Marsha J."
Western Washington,"Robart, James L."
Western Washington,"Rothstein, Barbara Jacobs"
Western Washington,"Settle, Benjamin Hale"
Western Washington,"Whitehead, Jamal Norman"
Western Washington,"Zilly, Thomas Samuel"
Western Texas,"Albright, Alan D"
Western Texas,"Biery, Samuel Frederick, Jr."
Western Texas,"Briones, David"
Western Texas,"Cardone, Kathleen"
Western Texas,"Counts, Walter David III"
Western Texas,"Garcia, Orlando Luis"
Western Texas,"Guaderrama, David Campos"
Western Texas,"Junell, Robert A."
Western Texas,"Montalvo, Frank"
Western Texas,"Moses, Alia"
Western Texas,"Nowlin, James Robertson"
Western Texas,"Pitman, Robert Lee"
Western Texas,"Pulliam, Jason Kenneth"
Western Texas,"Rodriguez, Xavier"
Western Texas,"Sparks, Sam"
Western Tennessee,"Anderson, Stanley Thomas"
Western Tennessee,"Breen, J. Daniel"
Western Tennessee,"Fowlkes, John Thomas, Jr."
Western Tennessee,"Lipman, Sheryl Halle"
Western Tennessee,"Mays, Samuel H., Jr."
Western Tennessee,"McCalla, Jon Phipps"
Western Tennessee,"Norris, Mark Saalfield, Sr."
Western Tennessee,"Parker, Thomas Lee Robinson"
Western Tennessee,"Todd, James Dale"
Southern_Iowa,"Ebinger, Rebecca Goodgame"
Southern_Iowa,"Gritzner, James E."
Southern_Iowa,"Locher, Stephen Henley"
Southern_Iowa,"Longstaff, Ronald Earl"
Southern_Iowa,"Pratt, Robert W."
Southern_Iowa,"Rose, Stephanie Marie"
Southern_Ohio,"Barrett, Michael Ryan"
Southern_Ohio,"Beckwith, Sandra Shank"
Southern_Ohio,"Black, Timothy Seymour"
Southern_Ohio,"Cole, Douglas Russell"
Southern_Ohio,"Dlott, Susan J."
Southern_Ohio,"Graham, James L."
Southern_Ohio,"Hopkins, Jeffery Paul"
Southern_Ohio,"Marbley, Algenon L."
Southern_Ohio,"McFarland, Matthew Walden"
Southern_Ohio,"Morrison, Sarah Daggett"
Southern_Ohio,"Newman, Michael Jay"
Southern_Ohio,"Rice, Walter Herbert"
Southern_Ohio,"Rose, Thomas M."
Southern_Ohio,"Sargus, Edmund A., Jr."
Southern_Ohio,"Watson, Michael H."
Southern_Ohio,"Weber, Herman Jacob"
Alaska,"Beistline, Ralph R."
Alaska,"Burgess, Timothy Mark"
Alaska,"Gleason, Sharon Louise"
Alaska,"Holland, H[ezekiah] Russel"
Alaska,"Kindred, Joshua Michael"
Alaska,"Sedwick, John W."
Alaska,"Singleton, James Keith, Jr."
Northern_Oklahoma,"Dowdell, John Edward"
Northern_Oklahoma,"Eagan, Claire"
Northern_Oklahoma,"Frizzell, Gregory Kent"
Northern_Oklahoma,"Heil, John Frederick III"
Northern_Oklahoma,"Kern, Terence C."
Northern_Oklahoma,"Payne, James H."
Idaho,"Brailsford, Amanda Kathleen"
Idaho,"Lodge, Edward J."
Idaho,"Nye, David Charles"
Idaho,"Winmill, B. Lynn"
Southern_Florida,"Altman, Roy Kalman"
Southern_Florida,"Altonaga, Cecilia M."
Southern_Florida,"Bloom, Beth Francine"
Southern_Florida,"Cannon, Aileen Mercedes"
Southern_Florida,"Cohn, James I."
Southern_Florida,"Dimitrouleas, William P."
Southern_Florida,"Gayles, Darrin Phillip"
Southern_Florida,"Gold, Alan Stephen"
Southern_Florida,"Gonzalez, Jose Alejandro, Jr."
Southern_Florida,"Graham, Donald L."
Southern_Florida,"Huck, Paul C."
Southern_Florida,"Hurley, Daniel T. K."
Southern_Florida,"King, James Lawrence"
Southern_Florida,"Lenard, Joan A."
Southern_Florida,"Marra, Kenneth A."
Southern_Florida,"Martinez, Jose E."
Southern_Florida,"Middlebrooks, Donald M."
Southern_Florida,"Moore, Kevin Michael"
Southern_Florida,"Moreno, Federico A."
Southern_Florida,"Rosenberg, Robin Lee"
Southern_Florida,"Ruiz, Rodolfo Armando II"
Southern_Florida,"Scola, Robert Nichols, Jr."
Southern_Florida,"Seitz, Patricia A."
Southern_Florida,"Singhal, Anuraag Hari"
Southern_Florida,"Smith, Rodney"
Southern_Florida,"Williams, Kathleen Mary"
Southern_Florida,"Zloch, William J."
Western Wisconsin,"Conley, William Martin"
Western Wisconsin,"Crabb, Barbara Brandriff"
Western Wisconsin,"Peterson, James Donald"
Northern_Ohio,"Adams, John R."
Northern_Ohio,"Barker, Pamela Ann"
Northern_Ohio,"Boyko, Christopher A."
Northern_Ohio,"Brennan, Bridget Meehan"
Northern_Ohio,"Calabrese, J. Philip"
Northern_Ohio,"Carr, James G."
Northern_Ohio,"Economus, Peter C."
Northern_Ohio,"Fleming, Charles Esque"
Northern_Ohio,"Gaughan, Patricia Anne"
Northern_Ohio,"Gwin, James S."
Northern_Ohio,"Helmick, Jeffrey James"
Northern_Ohio,"Knepp, James Ray II"
Northern_Ohio,"Lioi, Sara Elizabeth"
Northern_Ohio,"Nugent, Donald C."
Northern_Ohio,"Oliver, Solomon, Jr."
Northern_Ohio,"Pearson, Benita Yalonda"
Northern_Ohio,"Polster, Dan A."
Northern_Ohio,"Ruiz, David Augustin"
Northern_Ohio,"Zouhary, Jack"
Hawaii,"Ezra, David Alan"
Hawaii,"Gillmor, Helen W."
Hawaii,"Kay, Alan Cooke"
Hawaii,"Kobayashi, Leslie Emi"
Hawaii,"Mollway, Susan Oki"
Hawaii,"Otake, Jill Aiko"
Hawaii,"Park, Shanlyn Alohakeao Souza"
Hawaii,"Seabright, J[ohn] Michael"
Hawaii,"Smith, Micah William Janso"
Hawaii,"Watson, Derrick Kahala"
Eastern_Louisiana,"Africk, Lance M."
Eastern_Louisiana,"Ashe, Barry Weldon"
Eastern_Louisiana,"Barbier, Carl J."
Eastern_Louisiana,"Berrigan, Helen Ginger"
Eastern_Louisiana,"Brown, Nannette Jolivette"
Eastern_Louisiana,"Fallon, Eldon E."
Eastern_Louisiana,"Guidry, Greg Gerard"
Eastern_Louisiana,"Lemelle, Ivan L. R."
Eastern_Louisiana,"Lemmon, Mary Ann Vial"
Eastern_Louisiana,"Milazzo, Jane Margaret Triche"
Eastern_Louisiana,"Morgan, Susie"
Eastern_Louisiana,"Papillion, Darrel James"
Eastern_Louisiana,"Vance, Sarah S."
Eastern_Louisiana,"Vitter, Wendy Baldwin"
Eastern_Louisiana,"Zainey, Jay C."
Delaware,"Andrews, Richard Gibson"
Delaware,"Connolly, Colm Felix"
Delaware,"Hall, Jennifer Lynne"
Delaware,"Longobardi, Joseph J."
Delaware,"Noreika, Maryellen"
Delaware,"Williams, Gregory Brian"
Eastern_Missouri,"Autrey, Henry Edward"
Eastern_Missouri,"Clark, Stephen Robert, Sr."
Eastern_Missouri,"Filippine, Edward Louis"
Eastern_Missouri,"Fleissig, Audrey Goldstein"
Eastern_Missouri,"Hamilton, Jean Constance"
Eastern_Missouri,"Laughrey, Nanette Kay"
Eastern_Missouri,"Limbaugh, Stephen Nathaniel, Jr."
Eastern_Missouri,"Perry, Catherine D."
Eastern_Missouri,"Pitlyk, Sarah Elizabeth"
Eastern_Missouri,"Ross, John Andrew"
Eastern_Missouri,"Schelp, Matthew Thomas"
Eastern_Missouri,"Sippel, Rodney W."
Eastern_Missouri,"Webber, E. Richard"
Eastern_Missouri,"White, Ronnie Lee"
Eastern_Missouri,"Wimes, Brian Curtis"
Western_Oklahoma,"Alley, Wayne Edward"
Western_Oklahoma,"Cauthron, Robin J."
Western_Oklahoma,"DeGiusti, Timothy D."
Western_Oklahoma,"Dishman, Jodi Warmbrod"
Western_Oklahoma,"Friot, Stephen P."
